Africa,Winter,Low,Coast Line,Cloudy,Cold
Australia,Spring,High,Coastline,Cloudy,Normal
North America,Winter,Low,Inland,Sunny,Cold
Africa,Winter,Normal,Inland,Sunny,Normal
North America,Spring,High,Coast Line,Rainy,Cold
North America,Autumn,Low,Coast Line,Sunny,Normal
Africa,Autumn,High,Coast Line,Sunny,Hot
North America,Winter,Normal,Coast Line,Rainy,Cold
Australia,Summer,Normal,Inland,Humid,Hot
Africa,Winter,High,Inland,Humid,Normal
Australia,Summer,Low,Inland,Humid,Hot
North America,Autumn,High,Coast Line,Cloudy,Normal
North America,Spring,Normal,Inland,Sunny,Normal
North America,Summer,High,Coast Line,Cloudy,Normal
North America,Autumn,Normal,Coast Line,Humid,Normal
North America,Winter,Normal,Coast Line,Sunny,Cold
North America,Spring,Low,Inland,Humid,Cold
North America,Spring,Low,Inland,Rainy,Cold
North America,Spring,Normal,Coast Line,Humid,Normal
Africa,Summer,High,Coast Line,Humid,Hot
North America,Spring,High,Coast Line,Cloudy,Cold
North America,Summer,High,Inland,Humid,Hot
North America,Spring,Normal,Inland,Rainy,Normal
North America,Summer,Low,Inland,Rainy,Cold
Africa,Autumn,Normal,Inland,Humid,Hot
Africa,Summer,Low,Coast Line,Cloudy,Cold
Australia,Summer,High,Inland,Humid,Hot
Africa,Winter,High,Coast Line,Rainy,Normal
North America,Summer,Normal,Inland,Sunny,Hot
Africa,Summer,Low,Coast Line,Humid,Normal
Africa,Spring,High,Coast Line,Humid,Normal
North America,Autumn,Normal,Inland,Rainy,Normal
Africa,Spring,Low,Coast Line,Sunny,Normal
Africa,Summer,Normal,Inland,Humid,Hot
Africa,Summer,Normal,Inland,Sunny,Hot
Africa,Winter,High,Coast Line,Sunny,Hot
North America,Autumn,Normal,Coast Line,Rainy,Normal
